Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN
CSSPX.MI,iShares Core S&P 500 UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE00B5BMR087
IWDA.L,iShares Core MSCI World UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00B4L5Y983
VUSA.L,Vanguard S&P 500 UCITS ETF (USD) Distributing,"0,07%",Distribution,Réplication complète,IE00B3XXRP09
SPXS.L,Invesco S&P 500 UCITS ETF,"0,05%",Capitalisation,Basée sur swap non financé,IE00B3YCGJ38
EMIM.L,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),"0,18%",Capitalisation,Réplication complète,IE00BKM4GZ66
VUAA.L,Vanguard S&P 500 UCITS ETF (USD) Accumulating,"0,07%",Capitalisation,Réplication complète,IE00BFMXXD54
IE00BK5BQT80.SG,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,"0,22%",Capitalisation,Échantillonnage optimisé,IE00BK5BQT80
SGLD.L,Invesco Physical Gold A,"0,12%",Capitalisation,Physiquement garanti,IE00B579F325
SSAC.L,iShares MSCI ACWI UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00B6R52259
VWRD.L,Vanguard FTSE All-World UCITS ETF (USD) Distributing,"0,22%",Distribution,Échantillonnage optimisé,IE00B3RBWM25
CSNDX.SW,iShares Nasdaq 100 UCITS ETF (Acc),"0,30%",Capitalisation,Réplication complète,IE00B53SZB19
XDWD.L,Xtrackers MSCI World UCITS ETF 1C,"0,12%",Capitalisation,Échantillonnage optimisé,IE00BJ0KDQ92
ISFA.AS,iShares Core FTSE 100 UCITS ETF GBP (Dist),"0,07%",Distribution,Réplication complète,IE0005042456
IB01.L,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),"0,07%",Capitalisation,Échantillonnage,IE00BGSF1X88
SPY5.DE,SPDR S&P 500 UCITS ETF (Dist),"0,03%",Distribution,Réplication complète,IE00B6YX5C33
MEUD.PA,Amundi Stoxx Europe 600 UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,LU0908500753
IMEA.SW,iShares Core MSCI Europe UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage optimisé,IE00B4K48X80
SPPW.DE,SPDR MSCI World UCITS ETF,"0,12%",Capitalisation,Échantillonnage optimisé,IE00BFY0GT14
IITU.L,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE00B3WJKG14
HMWD.L,HSBC MSCI World UCITS ETF USD,"0,15%",Distribution,Échantillonnage optimisé,IE00B4X9L533
SP5C.PA,Amundi S&P 500 II UCITS ETF Acc,"0,05%",Capitalisation,Basée sur swap non financé,LU1135865084
SGAS.DE,iShares MSCI USA Screened UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE00BFNM3G45
IEAC.L,iShares Core EUR Corporate Bond UCITS ETF (Dist),"0,09%",Distribution,Échantillonnage,IE00B3F81R35
EEDS.L,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),"0,07%",Distribution,Réplication complète,IE00BHZPJ890
IE000XZSV718.SG,SPDR S&P 500 UCITS ETF (Acc),"0,03%",Capitalisation,Réplication complète,IE000XZSV718
JREU.L,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),"0,20%",Capitalisation,Réplication complète,IE00BF4G7076
IMEU.AS,iShares Core MSCI Europe UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage optimisé,IE00B1YZSC51
XD9U.L,Xtrackers MSCI USA UCITS ETF 1C,"0,07%",Capitalisation,Réplication complète,IE00BJ0KDR00
EQQQ.MI,Invesco EQQQ Nasdaq-100 UCITS ETF,"0,30%",Distribution,Réplication complète,IE0032077012
MWRD.PA,Amundi MSCI World UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,IE000BI8OT95
I500.AS,iShares S&P 500 Swap UCITS ETF USD (Acc),"0,05%",Capitalisation,Basée sur swap non financé,IE00BMTX1Y45
EXSA.DE,iShares STOXX Europe 600 UCITS ETF (DE),"0,20%",Distribution,Réplication complète,DE0002635307
EXW1.DE,iShares EURO STOXX 50 UCITS ETF (DE),"0,09%",Distribution,Réplication complète,DE0005933956
XDEW.L,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,"0,20%",Capitalisation,Réplication complète,IE00BLNMYC90
XZMU.DE,Xtrackers MSCI USA ESG UCITS ETF 1C,"0,15%",Capitalisation,Réplication complète,IE00BFMNPS42
IUSE.L,iShares S&P 500 EUR Hedged UCITS ETF (Acc),"0,20%",Capitalisation,Réplication complète,IE00B3ZW0K18
WLD.PA,Amundi MSCI World II UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,FR0010315770
IWRD.L,iShares MSCI World UCITS ETF (Dist),"0,50%",Distribution,Échantillonnage optimisé,IE00B0M62Q58
IE00BHZPJ908.SG,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE00BHZPJ908
GOLD.AS,Amundi Physical Gold ETC (C),"0,12%",Capitalisation,Physiquement garanti,FR0013416716
USCO.MI,SPDR Bloomberg SASB U.S. Corporate ESG UCITS ETF,"0,15%",Capitalisation,Échantillonnage,IE00BLF7VX27
HSPD.L,HSBC S&P 500 UCITS ETF USD,"0,09%",Distribution,Réplication complète,IE00B5KQNG97
SUSW.L,iShares MSCI World SRI UCITS ETF EUR (Acc),"0,20%",Capitalisation,Réplication complète,IE00BYX2JD69
XMME.L,Xtrackers MSCI Emerging Markets UCITS ETF 1C,"0,18%",Capitalisation,Échantillonnage optimisé,IE00BTJRMP35
SPXD.SW,Invesco S&P 500 UCITS ETF Dist,"0,05%",Distribution,Basée sur swap non financé,IE00BYML9W36
DBXD.DE,Xtrackers DAX UCITS ETF 1C,"0,09%",Capitalisation,Réplication complète,LU0274211480
SC0J.DE,Invesco MSCI World UCITS ETF Acc,"0,19%",Capitalisation,Basée sur swap non financé,IE00B60SX394
DFEN.DE,VanEck Defense UCITS ETF A,"0,55%",Capitalisation,Réplication complète,IE000YYE6WK5
SHYG.L,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),"0,50%",Distribution,Échantillonnage,IE00B66F4759
JREG.L,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),"0,25%",Capitalisation,Réplication complète,IE00BF4G6Y48
XMEU.L,Xtrackers MSCI Europe UCITS ETF 1C,"0,12%",Capitalisation,Réplication complète,LU0274209237
XZW0.DE,Xtrackers MSCI World ESG UCITS ETF 1C,"0,20%",Capitalisation,Réplication complète,IE00BZ02LR44
IJPA.L,iShares Core MSCI Japan IMI UCITS ETF,"0,12%",Capitalisation,Échantillonnage optimisé,IE00B4L5YX21
VHYL.L,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,"0,29%",Distribution,Échantillonnage optimisé,IE00B8GKDB10
MXUS.L,Invesco MSCI USA UCITS ETF,"0,05%",Capitalisation,Basée sur swap non financé,IE00B60SX170
CSBGU7.SW,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),"0,07%",Capitalisation,Échantillonnage,IE00B3VWN393
WSML.L,iShares MSCI World Small Cap UCITS ETF,"0,35%",Capitalisation,Échantillonnage optimisé,IE00BF4RFH31
JE00B1VS3770.SG,WisdomTree Physical Gold,"0,39%",Capitalisation,Physiquement garanti,JE00B1VS3770
XGDU.L,Xtrackers IE Physical Gold ETC Securities,"0,11%",Capitalisation,Physiquement garanti,DE000A2T0VU5
XSXG.L,Xtrackers S&P 500 Swap UCITS ETF 1D,"0,07%",Distribution,Basée sur swap non financé,LU2009147757
SEGA.L,iShares Core Euro Government Bond UCITS ETF (Dist),"0,07%",Distribution,Échantillonnage,IE00B4WXJJ64
IE00BHZPJ239.SG,iShares MSCI EM ESG Enhanced CTB UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE00BHZPJ239
XAIX.DE,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C 1C,"0,35%",Capitalisation,Réplication complète,IE00BGV5VN51
LU2572257124.SG,Amundi MSCI World III UCITS ETF Dist,"0,20%",Distribution,Basée sur swap non financé,LU2572257124
IBTA.L,iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),"0,07%",Capitalisation,Échantillonnage,IE00BYXPSP02
CW8.PA,Amundi MSCI World UCITS ETF EUR (C),"0,38%",Capitalisation,Basée sur swap non financé,LU1681043599
IEMM.AS,iShares MSCI EM UCITS ETF (Dist),"0,18%",Distribution,Réplication complète,IE00B0M63177
ECRP.PA,Amundi Index Euro Corporate SRI UCITS ETF DR (C),"0,14%",Capitalisation,Échantillonnage,LU1437018168
XDWT.L,Xtrackers MSCI World Information Technology UCITS ETF 1C,"0,25%",Capitalisation,Réplication complète,IE00BM67HT60
EUEAA.XC,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),"0,10%",Distribution,Réplication complète,IE0008471009
DBXW.DE,Xtrackers MSCI World Swap UCITS ETF 1C,"0,45%",Capitalisation,Basée sur swap non financé,LU0274208692
NDIA.L,iShares MSCI India UCITS ETF USD (Acc),"0,65%",Capitalisation,Réplication complète,IE00BZCQB185
EXXT.DE,iShares Nasdaq 100 UCITS ETF (DE),"0,30%",Distribution,Réplication complète,DE000A0F5UF5
D5BG.DE,Xtrackers II EUR Corporate Bond UCITS ETF 1C,"0,09%",Capitalisation,Échantillonnage optimisé,LU0478205379
VUKE.L,Vanguard FTSE 100 UCITS ETF (GBP) Distributing,"0,09%",Distribution,Réplication complète,IE00B810Q511
IEMA.L,iShares MSCI EM UCITS ETF (Acc),"0,18%",Capitalisation,Réplication complète,IE00B4L5YC18
ISVQF,iShares USD Short Duration Corporate Bond UCITS ETF (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BYXYYP94
500X.AS,SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),"0,03%",Capitalisation,Réplication complète,IE00BH4GPZ28
NASD.L,Amundi Nasdaq-100 II UCITS ETF Acc,"0,22%",Capitalisation,Basée sur swap non financé,LU1829221024
AYEM.DE,iShares MSCI EM IMI Screened UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE00BFNM3P36
LCJP.L,Amundi MSCI Japan UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,LU1781541252
XMAW.DE,Xtrackers MSCI AC World Screened UCITS ETF 1C,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BGHQ0G80
XDWL.DE,Xtrackers MSCI World UCITS ETF 1D,"0,12%",Distribution,Échantillonnage optimisé,IE00BK1PV551
VHVE.L,Vanguard FTSE Developed World UCITS ETF Acc,"0,12%",Capitalisation,Échantillonnage optimisé,IE00BK5BQV03
EDMW.DE,iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00BHZPJ569
SUOE.L,iShares EUR Corporate Bond ESG SRI UCITS ETF (Dist),"0,14%",Distribution,Échantillonnage,IE00BYZTVT56
IE15.L,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage,IE00B4L60045
SNAW.DE,iShares MSCI World Screened UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00BFNM3J75
UIMM.DE,UBS MSCI World Socially Responsible UCITS ETF USD dis,"0,22%",Distribution,Réplication complète,LU0629459743
