Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN,Annualised_Tracking_Difference
MEUD.PA,Amundi Stoxx Europe 600 UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,LU0908500753,0.478
SP5C.PA,Amundi S&P 500 II UCITS ETF Acc,"0,05%",Capitalisation,Basée sur swap non financé,LU1135865084,1.495
MWRD.PA,Amundi MSCI World UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,IE000BI8OT95,0.155
WLD.PA,Amundi MSCI World II UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,FR0010315770,0.173
GOLD.AS,Amundi Physical Gold ETC (C),"0,12%",Capitalisation,Physiquement garanti,FR0013416716,-0.353
LU2572257124.SG,Amundi MSCI World III UCITS ETF Dist,"0,20%",Distribution,Basée sur swap non financé,LU2572257124,0.314
CW8.PA,Amundi MSCI World UCITS ETF EUR (C),"0,38%",Capitalisation,Basée sur swap non financé,LU1681043599,-0.264
ECRP.PA,Amundi Index Euro Corporate SRI UCITS ETF DR (C),"0,14%",Capitalisation,Échantillonnage,LU1437018168,-0.222
NASD.L,Amundi Nasdaq-100 II UCITS ETF Acc,"0,22%",Capitalisation,Basée sur swap non financé,LU1829221024,-0.371
LCJP.L,Amundi MSCI Japan UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,LU1781541252,-0.274
IE000KXCEXR3.SG,Amundi S&P 500 Screened UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,IE000KXCEXR3,-0.216
MSE.PA,Amundi EURO STOXX 50 II UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR0007054358,0.974
CSH2.PA,Amundi Smart Overnight Return UCITS ETF Acc,"0,10%",Capitalisation,Basée sur swap non financé,LU1190417599,0.098
LSPU.L,Amundi S&P 500 II UCITS ETF USD Dist,"0,05%",Distribution,Basée sur swap non financé,LU0496786657,1.464
CAC.PA,Amundi CAC 40 UCITS ETF Dist,"0,25%",Distribution,Réplication complète,FR0007052782,-0.556
CEU2.PA,Amundi Index ETF MSCI Europe UCITS ETF DR (C),"0,12%",Capitalisation,Réplication complète,LU1437015735,0.418
500U.L,Amundi ETF S&P 500 UCITS ETF USD,"0,15%",Capitalisation,Basée sur swap non financé,LU1681049018,1.16
IE000Y77LGG9.SG,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,IE000Y77LGG9,-0.144
CB3.PA,Amundi Euro Government tilted Green Bond UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU1681046261,-0.174
AEME.PA,Amundi Index MSCI Emerging Markets UCITS ETF DR (C),"0,18%",Capitalisation,Réplication complète,LU1437017350,-0.304
LU2573966905.SG,Amundi MSCI Emerging Markets II UCITS ETF Dist,"0,14%",Distribution,Basée sur swap non financé,LU2573966905,-0.273
BNKE.PA,Amundi Euro Stoxx Banks UCITS ETF Acc,"0,30%",Capitalisation,Réplication complète,LU1829219390,1.469
LYPS.DE,Amundi S&P 500 II UCITS ETF EUR Dist,"0,05%",Distribution,Basée sur swap non financé,LU0496786574,1.504
C50.PA,Amundi EURO STOXX 50 UCITS ETF EUR (C),"0,09%",Capitalisation,Réplication complète,LU1681047236,1.053
LEONIA.MI,Amundi EUR Overnight Return UCITS ETF Acc,"0,10%",Capitalisation,Basée sur swap non financé,FR0010510800,-0.164
AEEM.PA,Amundi MSCI Emerging Markets UCITS ETF EUR (C),"0,20%",Capitalisation,Basée sur swap non financé,LU1681045370,-0.494
EPAB.PA,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2195226068,0.359
LEMA.L,Amundi MSCI Emerging Markets II UCITS ETF Acc,"0,14%",Capitalisation,Basée sur swap non financé,LU2573967036,0.098
IE000QQ8Z0D8.SG,Amundi MSCI USA ESG Broad Transition UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE000QQ8Z0D8,0.589
500.PA,Amundi S&P 500 UCITS ETF EUR (C),"0,15%",Capitalisation,Basée sur swap non financé,LU1681048804,1.194
ECR3.DE,Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),"0,12%",Capitalisation,Échantillonnage,LU2037748774,-0.196
WEBE.DE,Amundi S&P 500 Climate Paris Aligned UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE000UZTA1X0,0.031
TNOW.PA,Amundi MSCI World Information Technology UCITS ETF EUR Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033667,-2.502
WEBG.DE,Amundi Prime All Country World UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE0009HF1MK9,0.17
IE000LAP5Z18.SG,Amundi S&P 500 Equal Weight ESG Leaders UCITS ETF DR - USD (A),"0,18%",Capitalisation,Réplication complète,IE000LAP5Z18,0.206
CEUG.DE,Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (C),"0,12%",Capitalisation,Réplication complète,LU1681042609,0.361
LUSAC.SW,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,IE0006IP4XZ8,0.577
EMXC.L,Amundi MSCI Emerging Ex China UCITS ETF Acc,"0,15%",Capitalisation,Basée sur swap non financé,LU2009202107,-0.536
IE000O5FBC47.SG,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,IE000O5FBC47,-0.053
MTA.PA,Amundi Euro Government Bond 1-3Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1650487413,-0.177
PRIJ.L,Amundi Prime Japan UCITS ETF DR (D),"0,05%",Distribution,Réplication complète,LU1931974775,0.174
WEBH.DE,Amundi MSCI USA UCITS ETF Acc,"0,03%",Capitalisation,Réplication complète,IE000FSN19U2,0.143
PABW.DE,Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,IE000CL68Z69,0.035
C001.DE,Amundi DAX UCITS ETF Dist,"0,08%",Distribution,Réplication complète,LU2611732046,-1.165
MTB.PA,Amundi Euro Government Bond 3-5Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1650488494,-0.176
LYY0.DE,Amundi MSCI All Country World UCITS ETF EUR Acc,"0,45%",Capitalisation,Basée sur swap non financé,LU1829220216,-0.492
ESGWO.MI,Amundi MSCI World ESG Leaders UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,IE00016PSX47,0.098
BNK.PA,Amundi STOXX Europe 600 Banks UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834983477,0.248
EUSRI.PA,Amundi MSCI Europe SRI Climate Paris Aligned UCITS ETF DR (C),"0,18%",Capitalisation,Réplication complète,LU1861137484,0.271
CG1.PA,Amundi ETF DAX UCITS ETF DR,"0,10%",Capitalisation,Réplication complète,FR0010655712,0.339
GILS.L,Amundi UK Government Bond UCITS ETF Dist,"0,05%",Distribution,Échantillonnage,LU1407892592,-0.078
WAT.PA,Amundi MSCI Water UCITS ETF Dist,"0,60%",Distribution,Réplication complète,FR0010527275,-2.011
SP5H.PA,Amundi S&P 500 II UCITS ETF EUR Hedged Dist,"0,07%",Distribution,Basée sur swap non financé,LU0959211243,0.6
EMSRI.PA,Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR (C),"0,25%",Capitalisation,Réplication complète,LU1861138961,-0.584
MTD.PA,Amundi Euro Government Bond 7-10Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1287023185,-0.178
ANX.PA,Amundi Nasdaq 100 UCITS ETF EUR (C),"0,23%",Capitalisation,Basée sur swap non financé,LU1681038243,-2.192
EGOV.PA,Amundi Euro Government Bond UCITS ETF Acc,"0,09%",Capitalisation,Échantillonnage,LU1437018598,-0.096
ETFGLO.MI,Amundi Prime Global UCITS ETF Dist,"0,05%",Distribution,Réplication complète,IE000QIF5N15,0.165
CMU.PA,Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C),"0,25%",Capitalisation,Réplication complète,LU1602144575,0.595
EBBB.PA,Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF DR,"0,20%",Capitalisation,Échantillonnage,LU1525418643,-0.271
LWCR.PA,Amundi MSCI World ESG Broad Transition UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,IE0001GSQ2O9,-0.011
LYY7.DE,Amundi DAX III UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU0252633754,-1.298
AFRN.PA,Amundi Floating Rate Euro Corporate ESG UCITS ETF EUR (C),"0,18%",Capitalisation,Échantillonnage,LU1681041114,-0.216
GTSB.DE,Amundi Global Treasury Bond UCITS ETF USD Hedged Acc,"0,12%",Capitalisation,Échantillonnage,LU2924149862,-0.025
C6E.PA,Amundi STOXX Europe 600 ESG UCITS ETF DR EUR (C),"0,18%",Capitalisation,Réplication complète,LU1681040223,0.23
LU2197908721.SG,Amundi Nasdaq-100 II UCITS ETF Dist,"0,22%",Distribution,Basée sur swap non financé,LU2197908721,0.042
CRPX.L,Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU1829219127,-0.321
MTI.PA,Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,"0,09%",Capitalisation,Réplication complète,LU1650491282,-0.182
AASI.PA,Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C),"0,20%",Capitalisation,Basée sur swap non financé,LU1681044480,-0.66
GOVH.PA,Amundi Index J.P. Morgan GBI Government Bond Global UCITS ETF DR EUR Hedged,"0,22%",Capitalisation,Échantillonnage,LU1708330235,-0.2
PRIC.L,Amundi EUR Corporate Bond UCITS ETF DR EUR (D),"0,07%",Distribution,Échantillonnage,LU1931975079,-0.203
MTE.PA,Amundi Euro Government Bond 10-15Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1650489385,-0.179
SADM.DE,Amundi MSCI Emerging ESG Leaders - UCITS ETF DR (C),"0,18%",Capitalisation,Réplication complète,LU2109787551,-0.318
LYMD.DE,Amundi MSCI India II UCITS ETF EUR Acc,"0,85%",Capitalisation,Basée sur swap non financé,FR0010361683,-3.486
